Antigua and Barbuda,14.263,6.668
Argentina,16.172,7.611
Aruba,11.973,9.778
Australia,12.085,6.72
Austria,9.944,9.987
Bahamas,13.54,7.23
Bahrain,12.478,2.553
Barbados,10.558,9.292
Belgium,10.591,9.77
Canada,10.072,7.94
Channel Islands,9.805,7.967
Chile,11.653,6.597
Croatia,8.317,13.314
Curacao,10.626,9.395
Cyprus,9.421,7.411
Denmark,11.149,10.045
Estonia,9.898,12.16
Finland,8.582,10.063
France,10.914,9.51
French Polynesia,13.582,6.126
Germany,9.373,11.744
Greece,6.93,11.37
Guam,16.086,5.531
Hong Kong,10.796,7.162
Hungary,9.279,12.951
Iceland,11.527,6.884
Ireland,11.337,6.5
Israel,18.957,5.306
Italy,7.036,10.933
Japan,7.013,11.523
Kuwait,11.342,3.272
Latvia,9.79,14.953
Lithuania,9.837,14.43
Luxembourg,10.233,7.079
Macao,10.167,4.343
Malta,9.705,8.965
Netherlands,10.182,9.198
New Caledonia,13.535,6.154
New Zealand,12.205,7.231
Norway,11.151,7.904
Oman,15.816,2.468
Panama,17.885,5.25
Poland,9.154,10.651
Portugal,7.665,11.146
Puerto Rico,6.554,10.316
Qatar,8.831,1.458
Saudi Arabia,15.7,3.687
Seychelles,15.023,8.123
Singapore,8.336,5.208
Slovenia,8.933,10.462
South Korea,6.769,6.885
Spain,7.889,9.508
Sweden,11.733,9.086
Switzerland,10.082,8.21
Taiwan,8.386,8.148
Trinidad and Tobago,11.476,9.029
UAE,9.929,1.785
United Kingdom,11.267,9.46
United States,12.023,9.172
Uruguay,13.274,9.488
